1
Plane Number_0
OB	(-58.08, 0.00, -647.43)
OB	(-52.31, 0.00, -649.52)
OB	(-40.19, 0.00, -655.62)
OB	(-29.54, 0.00, -663.13)
OB	(-24.73, 0.00, -671.45)
OB	(-18.81, 0.00, -681.70)
OB	(-7.47, 0.00, -693.75)
OB	(16.14, 0.00, -706.97)
OB	(32.47, 0.00, -714.44)
OB	(55.62, 0.00, -719.21)
OB	(82.65, 0.00, -722.59)
OB	(115.57, 0.00, -722.09)
OB	(143.82, 0.00, -718.48)
OB	(177.99, 0.00, -710.33)
OB	(193.68, 0.00, -707.26)
OB	(206.74, 0.00, -703.50)
OB	(218.80, 0.00, -695.99)
OB	(230.85, 0.00, -685.99)
OB	(249.18, 0.00, -673.91)
OB	(261.86, 0.00, -660.40)
OB	(269.48, 0.00, -645.15)
Plane Number_0
Hazard	(271.70, 0.00, -638.90)
Hazard	(273.91, 0.00, -632.65)
Hazard	(273.91, 0.00, -619.10)
Hazard	(268.86, 0.00, -611.20)
Hazard	(260.86, 0.00, -605.95)
Hazard	(250.42, 0.00, -604.22)
Hazard	(240.13, 0.00, -615.09)
Hazard	(225.04, 0.00, -629.48)
Hazard	(210.12, 0.00, -642.03)
Hazard	(196.27, 0.00, -648.82)
Hazard	(180.42, 0.00, -651.61)
Hazard	(160.41, 0.00, -653.26)
Hazard	(143.50, 0.00, -655.92)
Hazard	(126.00, 0.00, -662.65)
Hazard	(109.72, 0.00, -668.95)
Hazard	(92.17, 0.00, -668.32)
Hazard	(72.62, 0.00, -663.74)
Hazard	(53.56, 0.00, -658.73)
Hazard	(35.53, 0.00, -654.59)
Hazard	(20.27, 0.00, -650.88)
Hazard	(5.95, 0.00, -646.24)
Hazard	(-9.34, 0.00, -640.82)
Hazard	(-24.11, 0.00, -636.33)
Hazard	(-37.90, 0.00, -631.23)
Hazard	(-50.57, 0.00, -625.76)
Hazard	(-63.86, 0.00, -620.88)
Hazard	(-78.59, 0.00, -617.11)
Hazard	(-94.20, 0.00, -614.58)
Hazard	(-108.48, 0.00, -612.90)
Hazard	(-121.56, 0.00, -612.02)
Hazard	(-136.91, 0.00, -612.42)
Hazard	(-143.60, 0.00, -616.69)
Hazard	(-144.44, 0.00, -625.51)
Hazard	(-141.85, 0.00, -630.38)
Hazard	(-130.14, 0.00, -633.79)
Hazard	(-116.38, 0.00, -633.85)
Hazard	(-103.85, 0.00, -632.24)
Hazard	(-91.18, 0.00, -635.68)
Hazard	(-79.22, 0.00, -638.33)
Hazard	(-67.39, 0.00, -644.06)
